Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,316168.00,100.00,154815.00,100.00,161353.00,100.00
   .Under 5 years,19901.00,6.30,10170.00,6.60,9731.00,6.00
   .5 to 9 years,20473.00,6.50,10453.00,6.80,10020.00,6.20
   .10 to 14 years,20606.00,6.50,10494.00,6.80,10113.00,6.30
   .15 to 19 years,20840.00,6.60,10609.00,6.90,10231.00,6.30
   .20 to 24 years,22215.00,7.00,11201.00,7.20,11014.00,6.80
   .25 to 29 years,21867.00,6.90,10984.00,7.10,10884.00,6.70
   .30 to 34 years,21139.00,6.70,10444.00,6.70,10695.00,6.60
   .35 to 39 years,19916.00,6.30,9830.00,6.30,10086.00,6.30
   .40 to 44 years,20003.00,6.30,9791.00,6.30,10212.00,6.30
   .45 to 49 years,20563.00,6.50,10098.00,6.50,10465.00,6.50
   .50 to 54 years,22233.00,7.00,10846.00,7.00,11387.00,7.10
   .55 to 59 years,21419.00,6.80,10328.00,6.70,11090.00,6.90
   .60 to 64 years,18998.00,6.00,9128.00,5.90,9870.00,6.10
   .65 to 69 years,15728.00,5.00,7391.00,4.80,8337.00,5.20
   .70 to 74 years,11209.00,3.50,5163.00,3.30,6046.00,3.70
   .75 to 79 years,8002.00,2.50,3580.00,2.30,4422.00,2.70
   .80 to 84 years,5480.00,1.70,2318.00,1.50,3161.00,2.00
   .85 years and over,5575.00,1.80,1986.00,1.30,3589.00,2.20
,        ,        ,        ,        ,        ,        
   .Under 15 years,60980.00,19.30,31116.00,20.10,29864.00,18.50
   .15 to 17 years,12940.00,4.10,6647.00,4.30,6293.00,3.90
   .18 to 20 years,12182.00,3.90,6205.00,4.00,5977.00,3.70
   .21 to 44 years,100858.00,31.90,50006.00,32.30,50852.00,31.50
   .45 to 64 years,83213.00,26.30,40400.00,26.10,42813.00,26.50
   .65 years and over,45994.00,14.50,20439.00,13.20,25555.00,15.80
,,,,,,
Median age,37.80,(X)      ,36.60,(X)      ,39.00,(X)      
