Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,318868.00,100.00,156205.00,100.00,162664.00,100.00
   .Under 5 years,19923.00,6.20,10186.00,6.50,9737.00,6.00
   .5 to 9 years,20469.00,6.40,10449.00,6.70,10020.00,6.20
   .10 to 14 years,20573.00,6.50,10478.00,6.70,10094.00,6.20
   .15 to 19 years,20915.00,6.60,10630.00,6.80,10285.00,6.30
   .20 to 24 years,21973.00,6.90,11089.00,7.10,10884.00,6.70
   .25 to 29 years,22434.00,7.00,11287.00,7.20,11146.00,6.90
   .30 to 34 years,21329.00,6.70,10558.00,6.80,10771.00,6.60
   .35 to 39 years,20387.00,6.40,10056.00,6.40,10331.00,6.40
   .40 to 44 years,19618.00,6.20,9644.00,6.20,9974.00,6.10
   .45 to 49 years,20679.00,6.50,10127.00,6.50,10552.00,6.50
   .50 to 54 years,21887.00,6.90,10712.00,6.90,11174.00,6.90
   .55 to 59 years,21835.00,6.80,10626.00,6.80,11209.00,6.90
   .60 to 64 years,19300.00,6.10,9153.00,5.90,10148.00,6.20
   .65 to 69 years,16517.00,5.20,7775.00,5.00,8742.00,5.40
   .70 to 74 years,11425.00,3.60,5186.00,3.30,6239.00,3.80
   .75 to 79 years,8421.00,2.60,3854.00,2.50,4567.00,2.80
   .80 to 84 years,5637.00,1.80,2400.00,1.50,3237.00,2.00
   .85 years and over,5547.00,1.70,1995.00,1.30,3552.00,2.20
   .Under 15 years,60965.00,19.10,31114.00,19.90,29851.00,18.40
   .15 to 17 years,13097.00,4.10,6624.00,4.20,6473.00,4.00
   .18 to 20 years,12354.00,3.90,6368.00,4.10,5985.00,3.70
   .21 to 44 years,101205.00,31.70,50272.00,32.20,50934.00,31.30
   .45 to 64 years,83701.00,26.20,40618.00,26.00,43083.00,26.50
   .65 years and over,47547.00,14.90,21209.00,13.60,26337.00,16.20
Median age,37.90,0      ,36.70,0      ,39.10,0      
